City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-22.13,91,84,2.52,RU,1712098313
1,hithadhoo,-0.6,73.0833,28.33,74,78,1.03,MV,1712098015
2,keflavik,64.0049,-22.5624,0.95,100,100,5.14,IS,1712098556
3,bilibino,68.0546,166.4372,-16.58,65,5,0.99,RU,1712098239
4,quthing,-30.4,27.7003,14.88,57,27,0.63,LS,1712098558
5,salinopolis,-0.6136,-47.3561,26.82,86,91,3.76,BR,1712098338
6,port-aux-francais,-49.35,70.2167,6.92,79,89,13.05,TF,1712098214
7,port macquarie,-31.4333,152.9167,22.72,59,7,5.05,AU,1712098560
8,hasaki,35.7333,140.8333,13.22,72,100,2.96,JP,1712098310
9,georgetown,5.4112,100.3354,28.96,83,20,1.54,MY,1712098370
10,muurame,62.1333,25.6667,-2.69,89,100,5.84,FI,1712098563
11,port saint john's,-31.6229,29.5448,21.54,77,100,2.59,ZA,1712098271
12,kingston,17.997,-76.7936,29.53,66,20,10.8,JM,1712098039
13,albany,42.6001,-73.9662,7.64,82,100,1.34,US,1712098250
14,uturoa,-16.7333,-151.4333,28.54,75,25,8.4,PF,1712098381
15,edinburgh of the seven seas,-37.0676,-12.3116,15.67,77,89,7.06,SH,1712097959
16,bethel,41.3712,-73.414,7.48,86,100,4.12,US,1712097958
17,ilulissat,69.2167,-51.1,-2.99,80,75,0.51,GL,1712097995
18,prince rupert,54.3161,-130.3201,8.05,66,20,9.77,CA,1712098508
19,adamstown,-25.066,-130.1015,23.93,72,65,12.3,PN,1712098219
20,puerto baquerizo moreno,-0.9,-89.6,29.55,84,20,4.63,EC,1712098336
21,waitangi,-43.9535,-176.5597,14.34,92,100,3.13,NZ,1712097957
22,iskateley,67.6803,53.1512,-16.45,91,5,4.96,RU,1712098042
23,papatowai,-46.5619,169.4708,15.47,63,100,1.45,NZ,1712098241
24,talnakh,69.4865,88.3972,-12.59,80,100,4.54,RU,1712098245
25,dudinka,69.4058,86.1778,-10.58,94,100,6.73,RU,1712098357
26,myadzyel,54.8731,26.9359,7.24,87,100,7.8,BY,1712098574
27,utrik,11.2278,169.8474,26.72,76,100,7.42,MH,1712098254
28,ribeira grande,38.5167,-28.7,15.94,80,100,11.67,PT,1712098270
29,la ronge,55.1001,-105.2842,9.14,31,75,4.63,CA,1712098576
30,khorixas,-20.3667,14.9667,22.8,52,84,0.74,NA,1712098577
31,blackmans bay,-43.0167,147.3167,10.96,70,74,0.45,AU,1712098258
32,al kharijah,25.4514,30.5464,24.51,29,0,4.81,EG,1712098578
33,sorong,-0.8833,131.25,26.69,86,90,3.72,ID,1712098579
34,grytviken,-54.2811,-36.5092,4.07,74,17,4.41,GS,1712097951
35,garden city,42.3256,-83.331,7.86,96,100,5.14,US,1712098432
36,atafu village,-8.5421,-172.5159,29.25,72,69,1.14,TK,1712098382
37,sao raimundo nonato,-9.0153,-42.6994,24.32,87,88,0.08,BR,1712098337
38,udachny,66.4167,112.4,-10.58,87,100,6.78,RU,1712098300
39,mastic beach,40.7668,-72.8521,7.65,94,100,6.71,US,1712098583
40,al jawf,29.5,38.75,21.07,23,3,5.15,SA,1712098583
41,bodaybo,57.8506,114.1933,-10.18,97,99,0.6,RU,1712098584
42,harper,4.375,-7.7169,27.73,89,45,2.57,LR,1712098585
43,sovetskaya gavan',48.9723,140.2878,1.46,65,64,1.82,RU,1712098585
44,ushuaia,-54.8,-68.3,4.81,75,75,4.12,AR,1712098056
45,masaki-cho,33.7876,132.7112,13.6,94,75,9.77,JP,1712098587
46,iqaluit,63.7506,-68.5145,-0.15,93,75,2.57,CA,1712098257
47,margaret river,-33.95,115.0667,9.82,88,1,4.51,AU,1712098220
48,revda,56.801,59.9303,4.38,97,100,5.52,RU,1712098589
49,whitehorse,60.7161,-135.0538,3.43,44,75,2.06,CA,1712098589
